                          Intent-Store Recommendations                          
┏━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━┳━━━━━━━┳━━━━━━━┳━━━━━━━┳━━━━━━━┳━━━━━━━┳━━━━━━┓
┃                               ┃       ┃  Last ┃       ┃       ┃       ┃      ┃
┃ File                          ┃  Size ┃ Acce… ┃ Score ┃ Acti… ┃ Stat… ┃ Jus… ┃
┡━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━╇━━━━━━━╇━━━━━━━╇━━━━━━━╇━━━━━━━╇━━━━━━━╇━━━━━━┩
│ debug_crawler_2022.log        │ 203.0 │ 1500d │ 0.000 │  📦   │ pend… │ [LL… │
│                               │     B │   ago │       │ arch… │       │ The  │
│                               │       │       │       │       │       │ file │
│                               │       │       │       │       │       │ con… │
│                               │       │       │       │       │       │ a    │
│                               │       │       │       │       │       │ log  │
│                               │       │       │       │       │       │ mes… │
│                               │       │       │       │       │       │ ind… │
│                               │       │       │       │       │       │ the  │
│                               │       │       │       │       │       │ sta… │
│                               │       │       │       │       │       │ of a │
│                               │       │       │       │       │       │ cra… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ a    │
│                               │       │       │       │       │       │ war… │
│                               │       │       │       │       │       │ abo… │
│                               │       │       │       │       │       │ mis… │
│                               │       │       │       │       │       │ can… │
│                               │       │       │       │       │       │ tag… │
│                               │       │       │       │       │       │ The… │
│                               │       │       │       │       │       │ det… │
│                               │       │       │       │       │       │ sug… │
│                               │       │       │       │       │       │ it   │
│                               │       │       │       │       │       │ is a │
│                               │       │       │       │       │       │ log  │
│                               │       │       │       │       │       │ file │
│                               │       │       │       │       │       │ for  │
│                               │       │       │       │       │       │ a    │
│                               │       │       │       │       │       │ web… │
│                               │       │       │       │       │       │ whi… │
│                               │       │       │       │       │       │ is a │
│                               │       │       │       │       │       │ type │
│                               │       │       │       │       │       │ of   │
│                               │       │       │       │       │       │ per… │
│                               │       │       │       │       │       │ doc… │
│                               │       │       │       │       │       │ with │
│                               │       │       │       │       │       │ a    │
│                               │       │       │       │       │       │ pre… │
│                               │       │       │       │       │       │ con… │
├───────────────────────────────┼───────┼───────┼───────┼───────┼───────┼──────┤
│ random_meeting_notes_2020.txt │ 195.0 │ 1800d │ 0.000 │  📦   │ reje… │ [RU… │
│                               │     B │   ago │       │ arch… │       │ Loo… │
│                               │       │       │       │       │       │ at   │
│                               │       │       │       │       │       │ ran… │
│                               │       │       │       │       │       │ I    │
│                               │       │       │       │       │       │ not… │
│                               │       │       │       │       │       │ its  │
│                               │       │       │       │       │       │ con… │
│                               │       │       │       │       │       │ bea… │
│                               │       │       │       │       │       │ lit… │
│                               │       │       │       │       │       │ res… │
│                               │       │       │       │       │       │ to   │
│                               │       │       │       │       │       │ hig… │
│                               │       │       │       │       │       │ doc… │
│                               │       │       │       │       │       │ cat… │
│                               │       │       │       │       │       │ (si… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ it   │
│                               │       │       │       │       │       │ is   │
│                               │       │       │       │       │       │ very │
│                               │       │       │       │       │       │ sma… │
│                               │       │       │       │       │       │ (19… │
│                               │       │       │       │       │       │ B),  │
│                               │       │       │       │       │       │ so   │
│                               │       │       │       │       │       │ sto… │
│                               │       │       │       │       │       │ imp… │
│                               │       │       │       │       │       │ is   │
│                               │       │       │       │       │       │ min… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ it   │
│                               │       │       │       │       │       │ has  │
│                               │       │       │       │       │       │ not  │
│                               │       │       │       │       │       │ been │
│                               │       │       │       │       │       │ acc… │
│                               │       │       │       │       │       │ in   │
│                               │       │       │       │       │       │ 1800 │
│                               │       │       │       │       │       │ day… │
│                               │       │       │       │       │       │ Giv… │
│                               │       │       │       │       │       │ the  │
│                               │       │       │       │       │       │ lack │
│                               │       │       │       │       │       │ of   │
│                               │       │       │       │       │       │ rec… │
│                               │       │       │       │       │       │ use  │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ low  │
│                               │       │       │       │       │       │ imp… │
│                               │       │       │       │       │       │ arc… │
│                               │       │       │       │       │       │ is   │
│                               │       │       │       │       │       │ saf… │
│                               │       │       │       │       │       │ (Ad… │
│                               │       │       │       │       │       │ bas… │
│                               │       │       │       │       │       │ on   │
│                               │       │       │       │       │       │ pri… │
│                               │       │       │       │       │       │ user │
│                               │       │       │       │       │       │ fee… │
│                               │       │       │       │       │       │ Rej… │
├───────────────────────────────┼───────┼───────┼───────┼───────┼───────┼──────┤
│ project_alpha_notes_2021.md   │ 176.0 │  900d │ 0.001 │  📦   │ pend… │ [RU… │
│                               │     B │   ago │       │ arch… │       │ For  │
│                               │       │       │       │       │       │ this │
│                               │       │       │       │       │       │ file │
│                               │       │       │       │       │       │ (pr… │
│                               │       │       │       │       │       │ its  │
│                               │       │       │       │       │       │ con… │
│                               │       │       │       │       │       │ bea… │
│                               │       │       │       │       │       │ lit… │
│                               │       │       │       │       │       │ res… │
│                               │       │       │       │       │       │ to   │
│                               │       │       │       │       │       │ hig… │
│                               │       │       │       │       │       │ doc… │
│                               │       │       │       │       │       │ cat… │
│                               │       │       │       │       │       │ (si… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ it   │
│                               │       │       │       │       │       │ is   │
│                               │       │       │       │       │       │ very │
│                               │       │       │       │       │       │ sma… │
│                               │       │       │       │       │       │ (17… │
│                               │       │       │       │       │       │ B),  │
│                               │       │       │       │       │       │ so   │
│                               │       │       │       │       │       │ sto… │
│                               │       │       │       │       │       │ imp… │
│                               │       │       │       │       │       │ is   │
│                               │       │       │       │       │       │ min… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ it   │
│                               │       │       │       │       │       │ has  │
│                               │       │       │       │       │       │ not  │
│                               │       │       │       │       │       │ been │
│                               │       │       │       │       │       │ acc… │
│                               │       │       │       │       │       │ in   │
│                               │       │       │       │       │       │ 900  │
│                               │       │       │       │       │       │ day… │
│                               │       │       │       │       │       │ Giv… │
│                               │       │       │       │       │       │ the  │
│                               │       │       │       │       │       │ lack │
│                               │       │       │       │       │       │ of   │
│                               │       │       │       │       │       │ rec… │
│                               │       │       │       │       │       │ use  │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ low  │
│                               │       │       │       │       │       │ imp… │
│                               │       │       │       │       │       │ arc… │
│                               │       │       │       │       │       │ is   │
│                               │       │       │       │       │       │ saf… │
├───────────────────────────────┼───────┼───────┼───────┼───────┼───────┼──────┤
│ old_journal_entry.txt         │ 298.0 │  600d │ 0.010 │  📦   │ pend… │ [RU… │
│                               │     B │   ago │       │ arch… │       │ For  │
│                               │       │       │       │       │       │ this │
│                               │       │       │       │       │       │ file │
│                               │       │       │       │       │       │ (ol… │
│                               │       │       │       │       │       │ its  │
│                               │       │       │       │       │       │ con… │
│                               │       │       │       │       │       │ bea… │
│                               │       │       │       │       │       │ lit… │
│                               │       │       │       │       │       │ res… │
│                               │       │       │       │       │       │ to   │
│                               │       │       │       │       │       │ hig… │
│                               │       │       │       │       │       │ doc… │
│                               │       │       │       │       │       │ cat… │
│                               │       │       │       │       │       │ (si… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ it   │
│                               │       │       │       │       │       │ is   │
│                               │       │       │       │       │       │ very │
│                               │       │       │       │       │       │ sma… │
│                               │       │       │       │       │       │ (29… │
│                               │       │       │       │       │       │ B),  │
│                               │       │       │       │       │       │ so   │
│                               │       │       │       │       │       │ sto… │
│                               │       │       │       │       │       │ imp… │
│                               │       │       │       │       │       │ is   │
│                               │       │       │       │       │       │ min… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ it   │
│                               │       │       │       │       │       │ has  │
│                               │       │       │       │       │       │ not  │
│                               │       │       │       │       │       │ been │
│                               │       │       │       │       │       │ acc… │
│                               │       │       │       │       │       │ in   │
│                               │       │       │       │       │       │ 600  │
│                               │       │       │       │       │       │ day… │
│                               │       │       │       │       │       │ Giv… │
│                               │       │       │       │       │       │ the  │
│                               │       │       │       │       │       │ lack │
│                               │       │       │       │       │       │ of   │
│                               │       │       │       │       │       │ rec… │
│                               │       │       │       │       │       │ use  │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ low  │
│                               │       │       │       │       │       │ imp… │
│                               │       │       │       │       │       │ arc… │
│                               │       │       │       │       │       │ is   │
│                               │       │       │       │       │       │ saf… │
├───────────────────────────────┼───────┼───────┼───────┼───────┼───────┼──────┤
│ temp_build_cache.log          │ 214.0 │  200d │ 0.064 │  📦   │ pend… │ [LL… │
│                               │     B │   ago │       │ arch… │       │ The  │
│                               │       │       │       │       │       │ file │
│                               │       │       │       │       │       │ 'te… │
│                               │       │       │       │       │       │ has  │
│                               │       │       │       │       │       │ been │
│                               │       │       │       │       │       │ arc… │
│                               │       │       │       │       │       │ bec… │
│                               │       │       │       │       │       │ it   │
│                               │       │       │       │       │       │ rep… │
│                               │       │       │       │       │       │ a    │
│                               │       │       │       │       │       │ cri… │
│                               │       │       │       │       │       │ log  │
│                               │       │       │       │       │       │ file │
│                               │       │       │       │       │       │ in   │
│                               │       │       │       │       │       │ the  │
│                               │       │       │       │       │       │ bui… │
│                               │       │       │       │       │       │ pro… │
│                               │       │       │       │       │       │ of a │
│                               │       │       │       │       │       │ sys… │
│                               │       │       │       │       │       │ ind… │
│                               │       │       │       │       │       │ that │
│                               │       │       │       │       │       │ its  │
│                               │       │       │       │       │       │ con… │
│                               │       │       │       │       │       │ is   │
│                               │       │       │       │       │       │ ess… │
│                               │       │       │       │       │       │ for  │
│                               │       │       │       │       │       │ mai… │
│                               │       │       │       │       │       │ the  │
│                               │       │       │       │       │       │ sys… │
│                               │       │       │       │       │       │ sta… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ ens… │
│                               │       │       │       │       │       │ the  │
│                               │       │       │       │       │       │ suc… │
│                               │       │       │       │       │       │ exe… │
│                               │       │       │       │       │       │ of   │
│                               │       │       │       │       │       │ bui… │
│                               │       │       │       │       │       │ The  │
│                               │       │       │       │       │       │ file │
│                               │       │       │       │       │       │ con… │
│                               │       │       │       │       │       │ tim… │
│                               │       │       │       │       │       │ mes… │
│                               │       │       │       │       │       │ abo… │
│                               │       │       │       │       │       │ bui… │
│                               │       │       │       │       │       │ pro… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ com… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ is   │
│                               │       │       │       │       │       │ typ… │
│                               │       │       │       │       │       │ used │
│                               │       │       │       │       │       │ to   │
│                               │       │       │       │       │       │ tra… │
│                               │       │       │       │       │       │ the  │
│                               │       │       │       │       │       │ bui… │
│                               │       │       │       │       │       │ sta… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ dep… │
│                               │       │       │       │       │       │ mak… │
│                               │       │       │       │       │       │ it a │
│                               │       │       │       │       │       │ vit… │
│                               │       │       │       │       │       │ part │
│                               │       │       │       │       │       │ of   │
│                               │       │       │       │       │       │ the  │
│                               │       │       │       │       │       │ sys… │
│                               │       │       │       │       │       │ arc… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ ope… │
├───────────────────────────────┼───────┼───────┼───────┼───────┼───────┼──────┤
│ weekly_standup_w1.txt         │ 188.0 │  400d │ 0.396 │  ✅   │ pend… │ [LL… │
│                               │     B │   ago │       │ keep  │       │ The  │
│                               │       │       │       │       │       │ file │
│                               │       │       │       │       │       │ con… │
│                               │       │       │       │       │       │ a    │
│                               │       │       │       │       │       │ wee… │
│                               │       │       │       │       │       │ sta… │
│                               │       │       │       │       │       │ doc… │
│                               │       │       │       │       │       │ for  │
│                               │       │       │       │       │       │ week │
│                               │       │       │       │       │       │ 1,   │
│                               │       │       │       │       │       │ whi… │
│                               │       │       │       │       │       │ is a │
│                               │       │       │       │       │       │ dai… │
│                               │       │       │       │       │       │ sum… │
│                               │       │       │       │       │       │ of   │
│                               │       │       │       │       │       │ tas… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ pro… │
│                               │       │       │       │       │       │ for  │
│                               │       │       │       │       │       │ a    │
│                               │       │       │       │       │       │ pro… │
│                               │       │       │       │       │       │ This │
│                               │       │       │       │       │       │ type │
│                               │       │       │       │       │       │ of   │
│                               │       │       │       │       │       │ file │
│                               │       │       │       │       │       │ is   │
│                               │       │       │       │       │       │ typ… │
│                               │       │       │       │       │       │ nee… │
│                               │       │       │       │       │       │ aga… │
│                               │       │       │       │       │       │ at a │
│                               │       │       │       │       │       │ pre… │
│                               │       │       │       │       │       │ fut… │
│                               │       │       │       │       │       │ poi… │
│                               │       │       │       │       │       │ mak… │
│                               │       │       │       │       │       │ it   │
│                               │       │       │       │       │       │ an   │
│                               │       │       │       │       │       │ app… │
│                               │       │       │       │       │       │ cho… │
│                               │       │       │       │       │       │ for  │
│                               │       │       │       │       │       │ this │
│                               │       │       │       │       │       │ file │
│                               │       │       │       │       │       │ to   │
│                               │       │       │       │       │       │ be   │
│                               │       │       │       │       │       │ kep… │
├───────────────────────────────┼───────┼───────┼───────┼───────┼───────┼──────┤
│ tax_return_2024.txt           │ 189.0 │  720d │ 0.414 │  ✅   │ pend… │ [LL… │
│                               │     B │   ago │       │ keep  │       │ The  │
│                               │       │       │       │       │       │ file │
│                               │       │       │       │       │       │ con… │
│                               │       │       │       │       │       │ tax  │
│                               │       │       │       │       │       │ ret… │
│                               │       │       │       │       │       │ inf… │
│                               │       │       │       │       │       │ whi… │
│                               │       │       │       │       │       │ is a │
│                               │       │       │       │       │       │ reg… │
│                               │       │       │       │       │       │ doc… │
│                               │       │       │       │       │       │ typ… │
│                               │       │       │       │       │       │ used │
│                               │       │       │       │       │       │ for  │
│                               │       │       │       │       │       │ ann… │
│                               │       │       │       │       │       │ fil… │
│                               │       │       │       │       │       │ The  │
│                               │       │       │       │       │       │ con… │
│                               │       │       │       │       │       │ is   │
│                               │       │       │       │       │       │ spe… │
│                               │       │       │       │       │       │ to   │
│                               │       │       │       │       │       │ Jane │
│                               │       │       │       │       │       │ Doe… │
│                               │       │       │       │       │       │ tax  │
│                               │       │       │       │       │       │ ret… │
│                               │       │       │       │       │       │ for  │
│                               │       │       │       │       │       │ 202… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ the  │
│                               │       │       │       │       │       │ file │
│                               │       │       │       │       │       │ has  │
│                               │       │       │       │       │       │ been │
│                               │       │       │       │       │       │ kept │
│                               │       │       │       │       │       │ for  │
│                               │       │       │       │       │       │ her  │
│                               │       │       │       │       │       │ rec… │
│                               │       │       │       │       │       │ ind… │
│                               │       │       │       │       │       │ a    │
│                               │       │       │       │       │       │ rou… │
│                               │       │       │       │       │       │ and  │
│                               │       │       │       │       │       │ nec… │
│                               │       │       │       │       │       │ ret… │
│                               │       │       │       │       │       │ for  │
│                               │       │       │       │       │       │ use… │
│                               │       │       │       │       │       │ who  │
│                               │       │       │       │       │       │ need │
│                               │       │       │       │       │       │ to   │
│                               │       │       │       │       │       │ man… │
│                               │       │       │       │       │       │ the… │
│                               │       │       │       │       │       │ tax… │
│                               │       │       │       │       │       │ ann… │
├───────────────────────────────┼───────┼───────┼───────┼───────┼───────┼──────┤
│ weekly_standup_w2.txt         │ 122.0 │  300d │ 0.449 │  ✅   │ pend… │ [LL… │
│                               │     B │   ago │       │ keep  │       │ The  │
│                               │       │       │       │       │       │ file │
│                               │       │       │       │       │       │ con… │
│                               │       │       │       │       │       │ a    │
│                               │       │       │       │       │       │ sum… │
│                               │       │       │       │       │       │ of   │
│                               │       │       │       │       │       │ the  │
